10
1,12 Angry Men,1957
7,One Flew Over the Cuckoo's Nest,1975
6,Life of Brian,1979
5,Blade Runner,1982
2,Schindler's List,1993
4,Pulp Fiction,1994
8,Braveheart,1995
10,Good Will Hunting,1997
9,The Truman Show,1998
3,How to Train Your Dragon,2010
